ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ANKDD1A,0.0861191012543876,3.8352366793745727,0.21543370408983206,0.8315519454875049,0.9972652206254287,-5.240538228803744
RPL26,-0.24030010017555625,3.8388999866522417,-1.063323089835421,0.29654384604450534,0.9972652206254287,-5.2408837152058725
MTMR8,-0.2499616826716684,3.796340868541836,-1.0978876484575648,0.2833476762090911,0.9972652206254287,-5.240960464168529
CUL9,-0.35408007435736977,4.622405813567556,-1.1383583981360186,0.2628008276507214,0.9972652206254287,-5.241217494334007
SLC7A5,0.3499568185180184,4.641866719241075,1.0463736001706216,0.3030946223895071,0.9972652206254287,-5.241399312468615
AHCYL2,0.3079170162395686,5.250916090756948,1.138095362932435,0.26290913026894974,0.9972652206254287,-5.241488980678424
SLC35A4,0.2500759734597633,6.919333561137038,1.1378384759819395,0.2630149324340727,0.9972652206254287,-5.241754065424279
BNIP2,0.2359022453398385,6.2770752605447155,1.1363155357684411,0.2636428048602953,0.9972652206254287,-5.243324473087229
FOXRED2,-0.3236194290913019,4.959419203582324,-1.1359784053250526,0.26425807196132906,0.9972652206254287,-5.243360747288836
PLPP5,-0.3042422280372872,4.228024675038669,-0.962405392173748,0.34392420545887814,0.9972652206254287,-5.243480663910812
SLC35B3,-0.33263575412105073,4.288856371622205,-1.0604975082099601,0.297804750029682,0.9972652206254287,-5.243568819055949
ZFAND2A,0.14016114407088676,3.9150267468910442,0.31328477555635253,0.7567094107584074,0.9972652206254287,-5.244239973308599
SLC12A6,-0.30808219970286554,5.185541624634362,-1.135021397587758,0.26417719532020995,0.9972652206254287,-5.244657423503639
INTS9,-0.34863043773238545,4.4756582319382705,-1.1346909687828541,0.26431376465563555,0.9972652206254287,-5.244997537705556
STK25,0.2827457848734056,6.617292971098452,1.134522078289406,0.2643835883056208,0.9972652206254287,-5.2451713433884235
STX5,-0.30035077780033603,4.822941172809993,-1.1337644595579783,0.264696970594114,0.9972652206254287,-5.245950717430396
SMG8,-0.2767507127288167,3.9311575800056637,-0.7884307565573317,0.436940584996211,0.9972652206254287,-5.246150092944399
OSCP1,-0.29914546270565046,3.989872915219696,-1.0570627721522905,0.3000030821382764,0.9972652206254287,-5.246324425268047
FRK,-0.3750540172858079,4.172201235641878,-1.13274596588821,0.2655936827652698,0.9972652206254287,-5.246684386433242
CRLF3,0.3483880210924557,4.487505505234227,1.0067078776525515,0.3219801202458214,0.9972652206254287,-5.246747444461639
ABRAXAS1,0.3374241452059179,4.185527534764682,1.0934250564091246,0.2827515695571274,0.9972652206254287,-5.247142724387929
AP3M1,0.3144869431178048,6.266529667447796,1.1324845088204072,0.2652270178556201,0.9972652206254287,-5.247266331689662
JDP2,0.3036748194504608,4.098609243824022,1.09266735442939,0.2836713377614089,0.9972652206254287,-5.247465092293004
RNF215,0.0712508011757671,3.6527461976735265,0.16108979493826822,0.8742365409511852,0.9972652206254287,-5.248214378447052
N4BP2L1,-0.2765303150629421,4.076565688538549,-1.0923362128081706,0.28295392054429036,0.9972652206254287,-5.24840680345259
MYL9,-0.3564887228428759,5.060229328007527,-1.1311987925336409,0.2657602206905306,0.9972652206254287,-5.248586492180643
ARHGAP5,0.235714105346033,6.708539167488434,1.1307890991532161,0.2659302874835848,0.9972652206254287,-5.249006870569009
SPAG16,-0.3548517950771357,4.901226214253343,-1.0894189865086361,0.28396674241012665,0.9972652206254287,-5.2514561633441375
NECTIN2,0.3003925314887814,4.444508414353532,1.0892166614858818,0.2843058296566868,0.9972652206254287,-5.251473638373296
C19orf54,-0.3114900170937158,5.246620787141319,-1.1283524274259944,0.2669433840175991,0.9972652206254287,-5.251504189036671
CCDC18,0.2623158946427582,3.9887650865867594,1.0338762687939227,0.3101814217082352,0.9972652206254287,-5.251940103224413
MT-ND4,-0.1947753215118091,15.465890737681404,-1.1279039426219444,0.2671301523830405,0.9972652206254287,-5.251963294555866
